Player,Nation,Pos,Squad,Comp,Age,Born,90s,Touches,TouchesDefPen,TouchesDef3rd,TouchesMid3rd,TouchesAtt3rd,TouchesAttPen,LiveTouches,TakeOnsAtt,TakeOnsSucc,TakeOnsSucc%,TakeOnsTkld,TakeOnsTkld%,Carries,CarryTotDist,CarryPrgDist,PrgCarries,CarriesFinal3rd,CarriesPenArea,Miscontrols,Dispossessed,PassesReceived,PrgPassesReceived
Nadiem Amiri,GER,MF,Mainz 05,Bundesliga,26,1996,14.6,984,29,149,504,346,15,983,55,25,45.5,24,43.6,470,2454,1094,16,25,5,22,19,524,22
Nadiem Amiri,GER,MF,Leverkusen,Bundesliga,26,1996,1.0,116,2,9,62,48,2,116,6,1,16.7,4,66.7,57,313,187,5,4,1,2,0,96,6
Kofi Amoako,GER,MF,Wolfsburg,Bundesliga,18,2005,0.0,1,0,1,0,0,0,1,0,0,,0,,1,0,0,0,0,0,0,0,1,0
Sofyan Amrabat,MAR,"MF,DF",Manchester Utd,Premier League,26,1996,10.4,770,48,218,439,120,1,770,10,6,60.0,2,20.0,489,2362,947,6,8,0,9,11,545,10
Joachim Andersen,DEN,DF,Crystal Palace,Premier League,27,1996,37.9,2609,337,1320,1160,140,44,2609,23,14,60.9,6,26.1,1367,7243,4207,21,11,0,11,6,1604,10
Elliot Anderson,ENG,"MF,FW",Newcastle Utd,Premier League,20,2002,11.4,640,23,109,278,267,46,640,43,21,48.8,18,41.9,364,2272,1213,37,23,4,28,22,416,70
Felipe Anderson,BRA,"FW,MF",Lazio,Serie A,30,1993,30.8,1756,43,252,792,742,93,1756,107,43,40.2,54,50.5,897,5493,2896,108,62,26,65,32,1304,226
Benjamin André,FRA,MF,Lille,Ligue 1,32,1990,28.6,2242,103,496,1461,293,32,2242,23,10,43.5,13,56.5,1701,8056,3343,19,40,1,29,22,1612,37
Komnen Andrić,SRB,FW,Clermont Foot,Ligue 1,28,1995,1.9,83,2,3,44,36,3,83,5,2,40.0,3,60.0,59,272,42,0,4,1,8,6,66,24
Robert Andrich,GER,"MF,DF",Leverkusen,Bundesliga,28,1994,18.8,1638,53,319,1049,281,16,1638,12,7,58.3,4,33.3,885,4005,1978,20,34,1,13,7,1235,14
Miguel Ángel Rubio,ESP,DF,Granada,La Liga,25,1998,17.3,975,128,567,381,30,17,975,7,5,71.4,1,14.3,491,2583,1586,7,5,0,10,2,559,1
Angeliño,ESP,DF,Roma,Serie A,26,1997,12.7,830,60,284,351,199,7,830,13,6,46.2,6,46.2,414,1902,864,12,13,0,9,6,502,55
Ângelo,BRA,"FW,MF",Strasbourg,Ligue 1,18,2004,12.2,593,7,76,261,282,27,593,56,30,53.6,23,41.1,464,4032,1883,50,47,6,44,24,411,109
Fabrizio Angileri,ARG,"DF,MF",Getafe,La Liga,29,1994,1.8,121,7,34,52,37,1,121,4,2,50.0,1,25.0,59,237,92,2,2,0,1,0,62,6
Jaidon Anthony,ENG,FW,Bournemouth,Premier League,23,1999,1.7,69,2,15,27,27,4,69,6,2,33.3,3,50.0,36,160,77,2,2,0,5,2,40,9
Waldemar Anton,GER,DF,Stuttgart,Bundesliga,27,1996,32.1,2977,296,1245,1612,138,34,2977,22,15,68.2,7,31.8,1847,10429,5711,38,19,5,28,12,2110,15
Michail Antonio,JAM,FW,West Ham,Premier League,33,1990,18.8,527,7,49,226,259,59,527,62,29,46.8,26,41.9,345,2320,1084,48,17,19,69,39,398,104
Antony,BRA,FW,Manchester Utd,Premier League,23,2000,14.7,815,17,106,304,428,58,815,71,26,36.6,33,46.5,549,3723,1953,53,37,23,26,19,571,149
Christopher Antwi-Adjei,GHA,"FW,MF",Bochum,Bundesliga,29,1994,13.5,614,10,74,170,378,51,614,35,7,20.0,24,68.6,318,2169,1071,50,22,17,31,24,380,138
Houssem Aouar,ALG,"MF,FW",Roma,Serie A,25,1998,8.4,440,3,49,238,157,27,440,21,11,52.4,7,33.3,278,1418,622,17,15,7,16,15,319,59
Stredair Appuah,FRA,"FW,MF",Nantes,Ligue 1,19,2004,0.9,42,1,7,20,15,3,42,6,4,66.7,2,33.3,27,188,92,3,1,1,4,1,26,2
Mauro Arambarri,URU,MF,Getafe,La Liga,27,1995,3.8,188,9,30,115,44,6,188,6,2,33.3,4,66.7,110,548,214,2,6,0,5,5,104,6
Jon Aramburu,VEN,DF,Real Sociedad,La Liga,21,2002,6.0,392,22,92,214,91,3,392,7,2,28.6,4,57.1,171,726,347,6,10,0,6,6,207,25
Asaf Arania,ISR,MF,Darmstadt 98,Bundesliga,17,2005,0.1,5,0,0,2,3,0,5,0,0,,0,,2,16,9,0,1,0,0,0,4,2
Julian Araujo,MEX,DF,Las Palmas,La Liga,21,2001,16.2,1012,78,306,535,178,14,1012,20,12,60.0,6,30.0,489,1908,926,23,16,3,29,2,557,47
Ronald Araújo,URU,DF,Barcelona,La Liga,24,1999,22.2,1811,157,732,1000,92,34,1811,11,8,72.7,2,18.2,1177,6282,3750,24,14,2,14,4,1350,11
Oliver Arblaster,ENG,MF,Sheffield Utd,Premier League,19,2004,10.5,551,31,135,331,93,4,551,25,17,68.0,6,24.0,277,1489,634,13,12,3,13,8,313,4
Cameron Archer,ENG,"FW,MF",Sheffield Utd,Premier League,22,2001,20.4,563,13,63,205,307,69,563,61,30,49.2,29,47.5,345,2186,984,33,29,22,61,45,386,113
Cameron Archer,ENG,MF,Aston Villa,Premier League,22,2001,0.1,7,0,1,4,2,0,7,0,0,,0,,5,39,28,1,1,0,1,0,7,0
Alphonse Areola,FRA,GK,West Ham,Premier League,30,1993,30.0,976,835,969,7,0,0,976,1,1,100.0,0,0.0,498,3168,1945,0,1,0,0,0,345,0
Adu Ares,ESP,FW,Athletic Club,La Liga,21,2001,2.9,147,1,21,63,70,6,147,24,15,62.5,7,29.2,103,881,361,13,3,5,8,4,110,39
Jesús Areso,ESP,DF,Osasuna,La Liga,24,1999,29.6,1669,85,367,682,643,23,1669,82,44,53.7,34,41.5,742,4479,2388,78,60,8,52,25,895,180
Simone Aresti,ITA,GK,Cagliari,Serie A,37,1986,0.0,2,2,2,0,0,0,2,0,0,,0,,1,11,11,0,0,0,0,0,0,0
Matias Arezo,URU,FW,Granada,La Liga,20,2002,4.1,126,5,14,70,45,11,126,1,1,100.0,0,0.0,56,312,182,6,3,4,6,4,78,17
Iñigo Arguibide,ESP,DF,Osasuna,La Liga,18,2005,0.2,8,0,4,3,1,0,8,0,0,,0,,1,3,0,0,0,0,1,0,1,0
Yoël Armougom,FRA,"DF,MF",Clermont Foot,Ligue 1,25,1998,2.6,148,5,26,72,50,1,148,3,1,33.3,1,33.3,105,601,358,6,5,0,2,0,104,25
José Arnaiz,ESP,"FW,MF",Osasuna,La Liga,28,1995,10.3,449,3,37,158,256,30,449,29,11,37.9,15,51.7,259,1677,747,23,20,7,27,24,299,85
