Player,Pos,Squad,Age,Born,90s,PassAtt,Live,Dead,FK,ThroughBalls,SideSwitch,Cross,Throw-Ins,Corners,InSwingCorner,OutSwingCorner,StraightCorner,PassesCmp,PassOffside,PassesBlocked
Jack Hendry,DF,Scotland,28,1995,2.9,131,112,18,8,0,1,1,10,0,0,0,0,105,1,1
Benjamin Henrichs,DF,Germany,26,1997,0.1,5,4,1,0,0,0,0,1,0,0,0,0,4,0,0
Theo Hernández,DF,France,26,1997,6.3,394,361,33,6,0,0,11,27,0,0,0,0,354,0,7
Morten Hjulmand,MF,Denmark,24,1999,2.7,217,212,4,4,0,2,2,0,0,0,0,0,192,1,2
Adam Hložek,MF,Czechia,21,2002,1.2,16,15,1,0,0,0,0,0,0,0,0,0,15,0,0
Tomáš Holeš,DF,Czechia,30,1993,3.0,121,116,5,4,0,0,5,1,0,0,0,0,92,0,2
Arbër Hoxha,"FW,MF",Albania,25,1998,0.6,21,19,1,0,0,0,1,1,0,0,0,0,15,1,1
Robin Hranáč,DF,Czechia,24,2000,3.0,86,81,5,4,0,0,0,1,0,0,0,0,74,0,0
Elseid Hysaj,DF,Albania,29,1994,2.0,59,52,7,0,0,1,3,7,0,0,0,0,48,0,1
Pierre Højbjerg,MF,Denmark,28,1995,3.9,302,294,7,6,0,4,6,1,0,0,0,0,268,1,3
Rasmus Højlund,FW,Denmark,20,2003,3.2,55,46,8,0,0,0,1,0,0,0,0,0,43,1,1
Ivan Ilić,MF,Serbia,22,2001,2.2,149,141,8,6,0,1,4,1,1,1,0,0,139,0,0
Josip Iličić,"FW,MF",Slovenia,36,1988,0.3,11,11,0,0,1,0,0,0,0,0,0,0,7,0,1
Gonçalo Inácio,DF,Portugal,22,2001,1.3,150,148,2,1,0,0,1,1,0,0,0,0,134,0,3
Luka Ivanušec,MF,Croatia,25,1998,0.2,11,11,0,0,0,0,0,0,0,0,0,0,7,0,1
Erik Janža,DF,Slovenia,30,1993,3.0,114,89,24,5,1,1,12,18,1,1,0,0,77,1,3
Jorginho,MF,Italy,32,1991,2.4,238,232,6,5,1,1,0,0,0,0,0,0,217,0,0
Joselu,FW,Spain,33,1990,1.0,18,17,1,0,0,0,0,0,0,0,0,0,15,0,1
Diogo Jota,"FW,MF",Portugal,27,1996,1.1,35,35,0,0,1,0,1,0,0,0,0,0,24,0,0
Luka Jović,"MF,FW",Serbia,26,1997,1.1,19,19,0,0,0,1,1,0,0,0,0,0,14,0,1
Josip Juranović,DF,Croatia,28,1995,1.0,65,57,8,0,0,0,8,7,0,0,0,0,53,0,2
David Jurásek,DF,Czechia,23,2000,1.8,75,64,11,1,0,0,15,9,1,0,1,0,45,0,4
Matěj Jurásek,"DF,MF",Czechia,20,2003,0.5,26,25,1,0,2,0,9,0,1,0,0,0,13,0,1
Ferdi Kadioglu,"DF,MF",Türkiye,24,1999,5.0,277,244,32,2,1,1,4,30,0,0,0,0,239,1,5
İrfan Kahveci,FW,Türkiye,28,1995,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otar Kakabadze,"DF,MF",Georgia,28,1995,4.0,171,133,37,4,0,4,5,33,0,0,0,0,124,1,2
Harry Kane,FW,England,30,1993,6.7,104,96,7,1,0,5,4,2,0,0,0,0,71,1,6
N'Golo Kanté,MF,France,32,1991,5.7,325,323,1,1,1,1,3,0,0,0,0,0,289,1,6
Žan Karničnik,DF,Slovenia,29,1994,4.3,190,157,30,1,0,1,5,29,0,0,0,0,143,3,6
Guram Kashia,DF,Georgia,36,1987,4.0,114,108,6,5,0,1,0,0,0,0,0,0,93,0,0
Milos Kerkez,DF,Hungary,20,2003,2.6,77,73,3,1,0,0,14,2,0,0,0,0,47,1,5
Semih Kılıçsoy,FW,Türkiye,18,2005,0.0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Joshua Kimmich,DF,Germany,28,1995,5.3,409,369,38,4,2,0,24,34,0,0,0,0,363,2,4
Otar Kiteishvili,MF,Georgia,27,1996,1.4,53,50,3,3,0,0,0,0,0,0,0,0,45,0,0
Jakub Kiwior,DF,Poland,23,2000,3.0,153,124,29,5,0,0,2,24,0,0,0,0,127,0,7
László Kleinheisler,MF,Hungary,29,1994,0.6,17,17,0,0,0,0,0,0,0,0,0,0,16,0,0
Giorgi Kochorashvili,MF,Georgia,24,1999,4.0,176,171,5,5,0,1,1,0,0,0,0,0,159,0,1
Orkun Kökçü,MF,Türkiye,23,2000,2.5,123,119,3,3,1,2,3,0,0,0,0,0,94,1,2
Randal Kolo Muani,FW,France,25,1998,2.2,38,36,2,0,0,1,0,0,0,0,0,0,27,0,2
Yukhym Konoplia,DF,Ukraine,24,1999,0.8,42,36,6,0,0,1,2,6,0,0,0,0,32,0,2
Ezri Konsa,DF,England,26,1997,1.0,50,49,1,1,0,0,0,0,0,0,0,0,48,0,0
Filip Kostić,DF,Serbia,31,1992,0.5,15,11,4,0,0,0,3,4,0,0,0,0,8,0,0
Jules Koundé,DF,France,25,1998,6.3,392,325,66,8,1,2,22,58,0,0,0,0,332,1,6
Mateo Kovačić,MF,Croatia,29,1994,2.5,168,166,2,2,1,0,0,0,0,0,0,0,156,0,2
Matej Kovar,GK,Czechia,23,2000,0.4,18,16,2,0,0,0,0,0,0,0,0,0,9,0,0
Andrej Kramarić,FW,Croatia,32,1991,2.7,89,84,5,0,2,1,7,1,0,0,0,0,71,0,2
Ladislav Krejčí,DF,Czechia,24,1999,3.0,143,128,15,6,0,2,2,6,0,0,0,0,122,0,0
Toni Kroos,MF,Germany,34,1990,5.2,551,480,69,36,2,7,35,0,33,10,15,3,498,2,2
Jan Kuchta,FW,Czechia,27,1997,1.1,15,14,1,0,0,0,0,0,0,0,0,0,11,0,0
Juraj Kucka,MF,Slovakia,36,1987,3.9,123,123,0,0,1,0,3,0,0,0,0,0,93,0,2
Jasmin Kurtić,FW,Slovenia,35,1989,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Khvicha Kvaratskhelia,FW,Georgia,22,2001,3.8,86,69,17,4,0,0,15,2,8,8,0,0,68,0,0
Nika Kvekveskiri,MF,Georgia,31,1992,0.1,15,15,0,0,0,0,0,0,0,0,0,0,13,0,0
Giorgi Kvilitaia,FW,Georgia,30,1993,0.0,3,3,0,0,0,0,0,0,0,0,0,0,2,0,0
Saba Kvirkvelia,DF,Georgia,31,1992,2.0,61,58,3,3,0,3,0,0,0,0,0,0,52,0,1
Qazim Laçi,"MF,FW",Albania,28,1996,1.8,52,50,2,0,0,0,4,0,0,0,0,0,36,0,3
Konrad Laimer,"MF,FW",Austria,26,1997,3.0,126,119,6,2,0,0,2,1,0,0,0,0,107,1,6
Ádám Lang,DF,Hungary,31,1993,0.5,19,13,6,0,0,0,0,6,0,0,0,0,13,0,2
Aymeric Laporte,DF,Spain,29,1994,5.8,483,461,21,13,0,5,2,0,0,0,0,0,446,1,3
Robin Le Normand,DF,Spain,27,1996,4.9,344,344,0,0,0,1,0,0,0,0,0,0,320,0,1
Rafael Leão,FW,Portugal,24,1999,3.2,112,111,1,0,0,0,15,1,0,0,0,0,85,0,6
Robert Lewandowski,FW,Poland,35,1988,1.3,23,23,0,0,0,1,0,0,0,0,0,0,19,0,0
Philipp Lienhart,DF,Austria,27,1996,2.4,125,116,9,2,0,1,0,2,0,0,0,0,113,0,0
Ondřej Lingr,"MF,FW",Czechia,25,1998,0.9,27,23,4,1,0,0,1,1,1,0,0,0,21,0,2
