Player,Nation,Pos,Squad,Comp,Age,Born,MatchesPlayed,Starts,Min,90s,Goals,Assists,G+A,G-PK,PK,PKattempted,CardY,CardR,xG,npxG,xAG,npxG+xAG,PrgCarries,PrgPasses,PrgReceived,G/90,A/90,G+A/90,G-PK/90,G+A-PK/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90
Marcos Acuña,ARG,DF,Sevilla,La Liga,30,1991,30,21,"1,912",21.2,3,2,5,3,0,0,10,3,1.2,1.2,4.3,5.5,49,102,94,0.14,0.09,0.24,0.14,0.24,0.05,0.20,0.26,0.05,0.26
Che Adams,SCO,FW,Southampton,Premier League,26,1996,28,23,"1,992",22.1,5,3,8,5,0,0,1,0,6.7,6.7,2.8,9.5,17,34,115,0.23,0.14,0.36,0.23,0.36,0.30,0.13,0.43,0.30,0.43
Tyler Adams,USA,MF,Leeds United,Premier League,23,1999,24,24,"2,156",24.0,0,0,0,0,0,0,6,1,0.1,0.1,1.4,1.5,19,136,20,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.06,0.00,0.06
Sargis Adamyan,ARM,"FW,MF",Köln,Bundesliga,29,1993,24,4,644,7.2,1,2,3,1,0,0,3,0,3.4,3.4,0.8,4.1,12,24,58,0.14,0.28,0.42,0.14,0.42,0.47,0.11,0.58,0.47,0.58
Tosin Adarabioyo,ENG,DF,Fulham,Premier League,24,1997,25,23,"2,085",23.2,1,0,1,1,0,0,4,0,0.7,0.7,0.4,1.1,16,95,3,0.04,0.00,0.04,0.04,0.04,0.03,0.02,0.05,0.03,0.05
Martin Adeline,FRA,"MF,FW",Reims,Ligue 1,18,2003,5,0,107,1.2,0,0,0,0,0,0,2,0,0.1,0.1,0.0,0.1,1,3,1,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.06,0.06,0.06
Karim Adeyemi,GER,"FW,MF",Dortmund,Bundesliga,20,2002,24,20,"1,386",15.4,6,5,11,6,0,1,9,0,5.0,4.3,3.7,8.0,49,47,131,0.39,0.32,0.71,0.39,0.71,0.33,0.24,0.57,0.28,0.52
Amine Adli,MAR,"FW,MF",Leverkusen,Bundesliga,22,2000,26,16,"1,435",15.9,5,3,8,5,0,0,2,2,5.0,5.0,1.7,6.7,46,49,137,0.31,0.19,0.50,0.31,0.50,0.31,0.11,0.42,0.31,0.42
Yacine Adli,FRA,"MF,FW",Milan,Serie A,22,2000,6,1,144,1.6,0,0,0,0,0,0,1,0,0.1,0.1,0.3,0.3,7,10,8,0.00,0.00,0.00,0.00,0.00,0.05,0.16,0.22,0.05,0.22
Michel Aebischer,SUI,"FW,MF",Bologna,Serie A,25,1997,32,18,"1,542",17.1,1,0,1,1,0,0,4,0,1.5,1.5,0.6,2.1,14,46,85,0.06,0.00,0.06,0.06,0.06,0.08,0.04,0.12,0.08,0.12
Felix Afena-Gyan,GHA,"FW,MF",Cremonese,Serie A,19,2003,23,7,817,9.1,0,0,0,0,0,0,4,0,1.9,1.9,0.1,2.0,22,8,54,0.00,0.00,0.00,0.00,0.00,0.21,0.02,0.22,0.21,0.22
Emmanuel Agbadou,CIV,DF,Reims,Ligue 1,25,1997,29,27,"2,388",26.5,0,3,3,0,0,0,5,3,1.7,1.7,2.4,4.1,15,131,8,0.00,0.11,0.11,0.00,0.11,0.06,0.09,0.15,0.06,0.15
Julen Agirrezabala,ESP,GK,Athletic Club,La Liga,21,2000,8,7,675,7.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Lucien Agoume,FRA,MF,Troyes,Ligue 1,20,2002,15,14,"1,094",12.2,0,1,1,0,0,0,5,0,0.8,0.8,1.1,1.9,9,93,10,0.00,0.08,0.08,0.00,0.08,0.07,0.09,0.16,0.07,0.16
Felix Agu,GER,"DF,FW",Werder Bremen,Bundesliga,22,1999,3,0,49,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0,2,2,0.00,0.00,0.00,0.00,0.00,0.07,0.14,0.22,0.07,0.22
Álvaro Aguado,ESP,MF,Valladolid,La Liga,26,1996,34,18,"1,888",21.0,1,2,3,1,0,0,4,0,1.0,1.0,2.2,3.2,29,139,50,0.05,0.10,0.14,0.05,0.14,0.05,0.11,0.15,0.05,0.15
Kevin Agudelo,COL,"MF,FW",Spezia,Serie A,23,1998,34,23,"2,131",23.7,0,1,1,0,0,0,5,0,1.5,1.5,3.0,4.5,81,110,100,0.00,0.04,0.04,0.00,0.04,0.06,0.13,0.19,0.06,0.19
Nayef Aguerd,MAR,DF,West Ham,Premier League,26,1996,18,17,"1,595",17.7,2,0,2,2,0,0,4,0,2.2,2.2,0.5,2.7,2,25,4,0.11,0.00,0.11,0.11,0.11,0.13,0.03,0.15,0.13,0.15
Ruben Aguilar,FRA,DF,Monaco,Ligue 1,29,1993,20,14,"1,172",13.0,0,0,0,0,0,0,3,0,0.2,0.2,0.9,1.1,29,102,78,0.00,0.00,0.00,0.00,0.00,0.02,0.07,0.09,0.02,0.09
Naouirou Ahamada,FRA,"MF,FW",Crystal Palace,Premier League,20,2002,8,0,94,1.0,0,0,0,0,0,0,1,0,0.2,0.2,0.1,0.2,1,2,11,0.00,0.00,0.00,0.00,0.00,0.15,0.07,0.22,0.15,0.22
Naouirou Ahamada,FRA,MF,Stuttgart,Bundesliga,20,2002,17,17,"1,398",15.5,2,2,4,2,0,0,4,1,0.8,0.8,1.2,2.1,43,56,54,0.13,0.13,0.26,0.13,0.26,0.05,0.08,0.13,0.05,0.13
Amar Ahmed,SWE,FW,Troyes,Ligue 1,18,2004,1,0,20,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Jean-Eudes Aholou,CIV,MF,Strasbourg,Ligue 1,28,1994,30,16,"1,300",14.4,3,1,4,3,0,0,4,1,1.2,1.2,1.1,2.3,25,50,37,0.21,0.07,0.28,0.21,0.28,0.08,0.08,0.16,0.08,0.16
Joseph Aidoo,GHA,DF,Celta Vigo,La Liga,26,1995,35,35,"3,119",34.7,3,0,3,3,0,0,6,1,1.0,1.0,0.1,1.1,15,95,2,0.09,0.00,0.09,0.09,0.09,0.03,0.00,0.03,0.03,0.03
Ola Aina,NGA,DF,Torino,Serie A,25,1996,19,9,876,9.7,1,1,2,1,0,0,5,0,0.8,0.8,2.1,2.9,35,43,43,0.10,0.10,0.21,0.10,0.21,0.08,0.21,0.29,0.08,0.29
Rayan Aït-Nouri,ALG,DF,Wolves,Premier League,21,2001,21,9,"1,076",12.0,1,0,1,1,0,0,4,0,0.7,0.7,1.0,1.7,30,43,76,0.08,0.00,0.08,0.08,0.08,0.06,0.08,0.14,0.06,0.14
Emanuel Aiwum,AUT,DF,Cremonese,Serie A,21,2000,23,17,"1,653",18.4,0,0,0,0,0,0,3,0,0.2,0.2,0.4,0.6,19,46,7,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.03,0.01,0.03
Kristoffer Ajer,NOR,DF,Brentford,Premier League,24,1998,9,9,763,8.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1,10,31,12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01
Ludovic Ajorque,FRA,FW,Strasbourg,Ligue 1,28,1994,13,9,771,8.6,1,0,1,0,1,1,1,0,3.3,2.5,0.8,3.3,2,13,55,0.12,0.00,0.12,0.00,0.00,0.38,0.10,0.48,0.29,0.39
Ludovic Ajorque,FRA,"FW,MF",Mainz 05,Bundesliga,28,1994,17,15,"1,211",13.5,6,1,7,6,0,0,5,0,4.6,4.6,1.7,6.4,5,31,85,0.45,0.07,0.52,0.45,0.52,0.34,0.13,0.47,0.34,0.47
Manuel Akanji,SUI,DF,Manchester City,Premier League,27,1995,29,24,"2,287",25.4,0,1,1,0,0,0,2,0,1.3,1.3,0.4,1.7,24,116,17,0.00,0.04,0.04,0.00,0.04,0.05,0.02,0.07,0.05,0.07
Nathan Aké,NED,DF,Manchester City,Premier League,27,1995,26,22,"1,873",20.8,1,0,1,1,0,0,2,0,1.6,1.6,0.7,2.3,25,140,30,0.05,0.00,0.05,0.05,0.05,0.07,0.04,0.11,0.07,0.11
Sergio Akieme,ESP,DF,Almería,La Liga,24,1997,29,27,"2,297",25.5,1,0,1,1,0,0,5,0,1.5,1.5,2.0,3.5,60,58,84,0.04,0.00,0.04,0.04,0.04,0.06,0.08,0.14,0.06,0.14
Babatunde Akinsola,NGA,FW,Valladolid,La Liga,19,2003,1,0,11,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Maghnes Akliouche,FRA,"MF,FW",Monaco,Ligue 1,20,2002,11,5,402,4.5,0,0,0,0,0,0,3,0,0.5,0.5,0.5,0.9,9,16,42,0.00,0.00,0.00,0.00,0.00,0.10,0.11,0.21,0.10,0.21
Paul Akouokou,CIV,"MF,DF",Betis,La Liga,24,1997,12,3,447,5.0,0,0,0,0,0,0,3,0,0.2,0.2,0.0,0.2,1,10,1,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03
Jean-Daniel Akpa-Akpro,CIV,"MF,FW",Empoli,Serie A,29,1992,24,16,"1,356",15.1,1,1,2,1,0,0,9,2,1.5,1.5,1.0,2.4,19,39,37,0.07,0.07,0.13,0.07,0.13,0.10,0.06,0.16,0.10,0.16
Kevin Akpoguma,NGA,DF,Hoffenheim,Bundesliga,27,1995,28,21,"1,950",21.7,0,0,0,0,0,0,11,0,0.6,0.6,0.5,1.2,17,85,23,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.05,0.03,0.05
David Alaba,AUT,DF,Real Madrid,La Liga,30,1992,23,21,"1,838",20.4,1,3,4,1,0,0,3,0,0.8,0.8,1.1,1.9,16,67,60,0.05,0.15,0.20,0.05,0.20,0.04,0.05,0.09,0.04,0.09
Ángel Alarcón,ESP,"FW,MF",Barcelona,La Liga,18,2004,4,0,25,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,2,0.00,0.00,0.00,0.00,0.00,0.15,0.00,0.15,0.15,0.15
Tomás Alarcón,CHI,MF,Cádiz,La Liga,23,1999,4,2,223,2.5,0,0,0,0,0,0,2,1,0.0,0.0,0.1,0.1,2,9,6,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.04,0.01,0.04
Lucas Alario,ARG,"FW,MF",Eint Frankfurt,Bundesliga,29,1992,20,2,331,3.7,1,0,1,1,0,0,0,0,1.4,1.4,0.0,1.5,2,8,17,0.27,0.00,0.27,0.27,0.27,0.39,0.01,0.40,0.39,0.40
Jordi Alba,ESP,DF,Barcelona,La Liga,33,1989,24,14,"1,419",15.8,2,3,5,2,0,0,6,1,0.8,0.8,6.2,7.0,42,141,157,0.13,0.19,0.32,0.13,0.32,0.05,0.40,0.44,0.05,0.44
Luis Alberto,ESP,MF,Lazio,Serie A,29,1992,35,27,"2,442",27.1,6,7,13,5,1,2,4,0,4.4,2.7,7.0,9.7,73,248,94,0.22,0.26,0.48,0.18,0.44,0.16,0.26,0.42,0.10,0.36
Raúl Albiol,ESP,DF,Villarreal,La Liga,36,1985,25,24,"2,119",23.5,0,0,0,0,0,0,6,0,0.1,0.1,0.0,0.1,12,100,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01
Marc Albrighton,ENG,"FW,MF",Leicester City,Premier League,32,1989,6,1,237,2.6,1,0,1,1,0,0,0,0,0.3,0.3,0.9,1.3,4,7,18,0.38,0.00,0.38,0.38,0.38,0.13,0.34,0.48,0.13,0.48
Thiago Alcántara,ESP,MF,Liverpool,Premier League,31,1991,18,14,"1,254",13.9,0,0,0,0,0,0,2,0,0.4,0.4,1.1,1.5,13,120,24,0.00,0.00,0.00,0.00,0.00,0.03,0.08,0.11,0.03,0.11
Carlos Alcaraz,ARG,"MF,FW",Southampton,Premier League,19,2002,18,13,"1,029",11.4,4,2,6,4,0,0,3,0,1.9,1.9,0.7,2.6,20,28,32,0.35,0.17,0.52,0.35,0.52,0.17,0.06,0.23,0.17,0.23
Rubén Alcaraz,ESP,MF,Cádiz,La Liga,31,1991,31,22,"2,043",22.7,3,0,3,1,2,3,11,1,4.0,1.6,1.3,2.9,30,105,20,0.13,0.00,0.13,0.04,0.04,0.18,0.06,0.23,0.07,0.13
Omar Alderete,PAR,DF,Getafe,La Liga,25,1996,25,23,"2,047",22.7,1,1,2,1,0,0,9,0,0.6,0.6,0.8,1.4,28,96,8,0.04,0.04,0.09,0.04,0.09,0.03,0.03,0.06,0.03,0.06
Iván Alejo,ESP,"MF,FW",Cádiz,La Liga,27,1995,31,13,"1,311",14.6,0,1,1,0,0,0,13,1,1.2,1.2,2.4,3.6,52,16,103,0.00,0.07,0.07,0.00,0.07,0.08,0.17,0.25,0.08,0.25
Doğan Alemdar,TUR,GK,Rennes,Ligue 1,19,2002,6,4,406,4.5,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.03
Carles Aleñá,ESP,"MF,FW",Getafe,La Liga,24,1998,35,26,"2,119",23.5,2,2,4,2,0,0,12,1,2.3,2.3,1.6,3.9,24,87,78,0.08,0.08,0.17,0.08,0.17,0.10,0.07,0.17,0.10,0.17
Trent Alexander-Arnold,ENG,DF,Liverpool,Premier League,23,1998,37,34,"2,923",32.5,2,9,11,2,0,0,5,0,2.4,2.4,11.5,13.8,43,235,139,0.06,0.28,0.34,0.06,0.34,0.07,0.35,0.43,0.07,0.43
Alejandro Alfaro,ESP,MF,Elche,La Liga,20,2002,1,0,15,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Ángel Algobia,ESP,MF,Getafe,La Liga,23,1999,26,11,"1,138",12.6,0,0,0,0,0,0,3,0,0.3,0.3,0.6,0.9,10,42,11,0.00,0.00,0.00,0.00,0.00,0.02,0.05,0.07,0.02,0.07
Mohamed Ali Cho,FRA,"FW,MF",Real Sociedad,La Liga,18,2004,19,5,587,6.5,1,2,3,1,0,0,1,0,1.8,1.8,1.7,3.4,30,8,63,0.15,0.31,0.46,0.15,0.46,0.27,0.25,0.52,0.27,0.52
Faride Alidou,GER,"DF,MF",Eint Frankfurt,Bundesliga,21,2001,15,0,182,2.0,0,1,1,0,0,0,0,0,0.1,0.1,0.5,0.6,8,16,24,0.00,0.49,0.49,0.00,0.49,0.05,0.24,0.28,0.05,0.28
Alisson,BRA,GK,Liverpool,Premier League,29,1992,37,37,"3,330",37.0,0,1,1,0,0,0,1,0,0.0,0.0,0.3,0.3,0,3,0,0.00,0.03,0.03,0.00,0.03,0.00,0.01,0.01,0.00,0.01
Jim Allevinah,GAB,"DF,FW",Clermont Foot,Ligue 1,27,1995,36,25,"2,244",24.9,1,1,2,1,0,0,2,0,2.5,2.5,2.0,4.5,82,59,141,0.04,0.04,0.08,0.04,0.08,0.10,0.08,0.18,0.10,0.18
Dele Alli,ENG,MF,Everton,Premier League,26,1996,2,0,40,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Domingos André Ribeiro Almeida,POR,MF,Valencia,La Liga,22,2000,34,29,"2,539",28.2,2,4,6,2,0,0,3,0,1.4,1.4,3.4,4.9,74,197,71,0.07,0.14,0.21,0.07,0.21,0.05,0.12,0.17,0.05,0.17
Miguel Almirón,PAR,FW,Newcastle Utd,Premier League,28,1994,34,29,"2,491",27.7,11,2,13,11,0,0,2,0,8.0,8.0,3.2,11.1,77,124,264,0.40,0.07,0.47,0.40,0.47,0.29,0.11,0.40,0.29,0.40
Marcos Alonso,ESP,DF,Barcelona,La Liga,31,1990,24,11,"1,172",13.0,1,0,1,1,0,0,3,0,0.9,0.9,0.3,1.2,26,71,12,0.08,0.00,0.08,0.08,0.08,0.07,0.03,0.09,0.07,0.09
Mickaël Alphonse,GLP,DF,Ajaccio,Ligue 1,33,1989,26,14,"1,361",15.1,0,0,0,0,0,0,2,1,0.5,0.5,0.6,1.1,30,51,34,0.00,0.00,0.00,0.00,0.00,0.03,0.04,0.08,0.03,0.08
Éder Álvarez Balanta,COL,"MF,FW",Schalke 04,Bundesliga,29,1993,6,3,238,2.6,0,0,0,0,0,0,3,0,0.1,0.1,0.3,0.4,3,12,0,0.00,0.00,0.00,0.00,0.00,0.05,0.10,0.15,0.05,0.15
Carlos Álvarez,ESP,MF,Sevilla,La Liga,18,2003,1,0,10,0.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Gastón Álvarez,URU,DF,Getafe,La Liga,22,2000,22,16,"1,501",16.7,2,0,2,2,0,0,7,1,0.5,0.5,0.2,0.8,11,38,27,0.12,0.00,0.12,0.12,0.12,0.03,0.01,0.05,0.03,0.05
Julián Álvarez,ARG,"FW,MF",Manchester City,Premier League,22,2000,31,13,"1,465",16.3,9,0,9,8,1,1,0,0,7.0,6.2,1.8,8.0,38,37,99,0.55,0.00,0.55,0.49,0.49,0.43,0.11,0.54,0.38,0.49
Agustín Álvarez Martínez,URU,"FW,MF",Sassuolo,Serie A,21,2001,22,1,368,4.1,1,1,2,1,0,0,1,0,1.5,1.5,0.4,1.9,2,6,19,0.24,0.24,0.49,0.24,0.49,0.36,0.10,0.46,0.36,0.46
Yeray Álvarez,ESP,DF,Athletic Club,La Liga,27,1995,28,27,"2,332",25.9,1,1,2,1,0,0,7,1,0.8,0.8,1.1,1.9,32,152,8,0.04,0.04,0.08,0.04,0.08,0.03,0.04,0.07,0.03,0.07
Ibrahim Amadou,FRA,"DF,MF",Angers,Ligue 1,29,1993,7,4,424,4.7,0,0,0,0,0,0,2,0,0.1,0.1,0.1,0.1,0,5,5,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.03,0.01,0.03
Selim Amallah,MAR,"MF,FW",Valladolid,La Liga,25,1996,7,3,267,3.0,2,1,3,2,0,0,2,1,0.9,0.9,0.3,1.1,11,10,9,0.67,0.34,1.01,0.67,1.01,0.29,0.09,0.38,0.29,0.38
Daniel Amartey,GHA,DF,Leicester City,Premier League,27,1994,20,18,"1,610",17.9,0,0,0,0,0,0,1,0,1.1,1.1,0.5,1.6,23,66,5,0.00,0.00,0.00,0.00,0.00,0.06,0.03,0.09,0.06,0.09
Amath,SEN,"MF,FW",Mallorca,La Liga,26,1996,28,12,"1,227",13.6,2,0,2,2,0,0,2,1,2.7,2.7,0.8,3.5,33,16,69,0.15,0.00,0.15,0.15,0.15,0.20,0.06,0.25,0.20,0.25
Jordan Amavi,FRA,DF,Getafe,La Liga,28,1994,5,1,200,2.2,0,0,0,0,0,0,2,1,0.0,0.0,0.0,0.0,4,5,5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Lukáš Ambros,CZE,MF,Wolfsburg,Bundesliga,18,2004,1,0,17,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Kelvin Amian,FRA,DF,Spezia,Serie A,24,1998,30,26,"2,372",26.4,0,1,1,0,0,0,7,1,2.7,2.7,2.3,5.0,53,102,72,0.00,0.04,0.04,0.00,0.04,0.10,0.09,0.19,0.10,0.19
Bruno Amione,ARG,DF,Hellas Verona,Serie A,20,2002,1,1,58,0.6,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Bruno Amione,ARG,DF,Sampdoria,Serie A,20,2002,26,25,"2,086",23.2,1,1,2,1,0,0,10,1,0.9,0.9,0.6,1.5,11,54,9,0.04,0.04,0.09,0.04,0.09,0.04,0.03,0.06,0.04,0.06
Nadiem Amiri,GER,"MF,FW",Leverkusen,Bundesliga,25,1996,25,9,977,10.9,4,1,5,3,1,1,6,0,1.9,1.1,1.1,2.2,30,55,30,0.37,0.09,0.46,0.28,0.37,0.17,0.10,0.27,0.10,0.20
Samuel Amo-Ameyaw,ENG,MF,Southampton,Premier League,16,2006,1,0,4,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.86,0.86,0.00,0.86
Ethan Ampadu,WAL,"DF,MF",Spezia,Serie A,21,2000,31,31,"2,639",29.3,0,1,1,0,0,0,10,1,1.1,1.1,1.1,2.2,28,125,10,0.00,0.03,0.03,0.00,0.03,0.04,0.04,0.07,0.04,0.07
Sofyan Amrabat,MAR,MF,Fiorentina,Serie A,25,1996,29,24,"1,998",22.2,0,1,1,0,0,0,11,0,0.5,0.5,1.1,1.6,36,176,24,0.00,0.05,0.05,0.00,0.05,0.02,0.05,0.07,0.02,0.07
Ayoub Amraoui,MAR,"DF,FW",Nice,Ligue 1,18,2004,7,3,294,3.3,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,6,13,18,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.00,0.04
Joachim Andersen,DEN,DF,Crystal Palace,Premier League,26,1996,32,32,"2,782",30.9,1,0,1,1,0,0,8,0,1.8,1.8,1.3,3.1,16,105,7,0.03,0.00,0.03,0.03,0.03,0.06,0.04,0.10,0.06,0.10
Elliot Anderson,ENG,"MF,FW",Newcastle Utd,Premier League,19,2002,22,3,410,4.6,0,1,1,0,0,0,0,0,1.0,1.0,1.3,2.3,23,24,35,0.00,0.22,0.22,0.00,0.22,0.22,0.28,0.50,0.22,0.50
Felipe Anderson,BRA,FW,Lazio,Serie A,29,1993,38,35,"2,958",32.9,9,2,11,9,0,0,3,0,6.0,6.0,4.8,10.9,83,114,224,0.27,0.06,0.33,0.27,0.33,0.18,0.15,0.33,0.18,0.33
Benjamin André,FRA,MF,Lille,Ligue 1,31,1990,34,33,"2,916",32.4,1,1,2,1,0,0,12,0,1.6,1.6,1.8,3.4,41,309,46,0.03,0.03,0.06,0.03,0.06,0.05,0.06,0.11,0.05,0.11
Marcos André,BRA,"FW,MF",Valencia,La Liga,25,1996,17,3,447,5.0,1,0,1,1,0,0,2,1,1.5,1.3,0.4,1.8,2,7,20,0.20,0.00,0.20,0.20,0.20,0.29,0.09,0.38,0.27,0.36
Komnen Andrić,SRB,FW,Clermont Foot,Ligue 1,27,1995,34,16,"1,446",16.1,4,3,7,3,1,2,4,0,5.5,3.9,0.9,4.8,8,27,88,0.25,0.19,0.44,0.19,0.37,0.34,0.06,0.39,0.24,0.30
